Question,n_total,n_used,accuracy,qwk
Q1,100,92,0.2608695652173913,0.13993831919814947
Q2,100,97,0.30927835051546393,0.2499683103054886
Q3,100,80,0.475,0.11826452064380677
Q4,100,84,0.4642857142857143,0.19772117962466496
Q5,117,110,0.35454545454545455,0.4444444444444444
Q6,112,108,0.46296296296296297,0.42000000000000004
Q7,100,86,0.37209302325581395,0.20911350455675215
Q8,100,91,0.32967032967032966,0.17998317914213613
Q9,100,89,0.5730337078651685,0.4722371967654987
Q10,100,92,0.45652173913043476,0.2064755838641189
